sentence,source,id,sentence_count,negation_marker,causal_marker,implicit_vs_explicit,CE,multiple_c_e
"In a NEJM perspective article, Dr. Maki states that foodborne disease causes 350,000 hospitalizations and 5000 deaths per year.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('foodborne_disease', 'deaths'), ('foodborne_disease', 'hospitalizations')]",Yes
"Cytomegalovirus (C.M.V.) - a virus that causes pneumonia, bowel infections and severe eye infections that may end in blindness.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('virus', 'pneumonia'), ('virus', 'severe_eye_infections')]",Yes
"Subject to the provisions of Chapter 171 of this title (28 U.S.C. ss 2671 et seq.) the district courts ... shall have exclusive jurisdiction of civil actions on claims against the United States, for money damages, ... for injury or loss of property, or personal injury or death caused by the negligent or wrongful act or omission of any employee of the Government while acting within the scope of his office or employment, under circumstances where the United States, if a private person, would be liable to the claimant in accordance with the law of the place where the act or omission occurred.",CauseNet-cause.csv,,3,['claims'],['caused'],explicit,"[('negligent_or_wrongful_act', 'injury'), ('omission_of_any_employee_of_the_government', 'injury')]",Yes
I would love to see a study on diseases caused by Alcohol vs. Smoking vs. I am the anonymous responder (not intentional).,CauseNet-cause.csv,,3,[],['caused'],explicit,"[('smoking', 'diseases'), ('alcohol', 'diseases')]",Yes
"of Specialty Carbon/Zeolite Blend that reduces odors caused by pets and other chemicals, gases and odors such as ammonia... 60 Sq. ft. of Medical-grade True HEPA Filter Medium for removal of 99.97% of particulate pollutants.",CauseNet-cause.csv,,3,[],['caused'],explicit,"[('pets', 'odors'), ('gases', 'odors')]",Yes
"Olestra may cause abdominal cramping and loose stools. . . ."" Olestra's more serious long-term problem is that it inhibits the body's absorption of carotenoids -- fat-soluble nutrients that most experts believe protect consumers from heart disease and cancer.",CauseNet-cause.csv,,5,['believe'],['cause'],explicit,"[('olestra', 'abdominal_cramping'), ('olestra', 'loose_stools')]",Yes
"According to Dr. Bernadine Healy, former director of the National Insitutes of Health, chlamydia, a disease that causes miscarriage, pain and is a causative or contributing factor in up to 75% of all cases of infertility caused by scarred or black fallopian tubes, affected from 3-5 million Americans in 1995.",CauseNet-cause.csv,,2,[],"['causes', 'caused']",explicit,"[('disease', 'pain'), ('disease', 'miscarriage')]",Yes
"The journal deals with the main areas of plant pathology, including epidemiology, disease management, biochemical and physiological aspects, application of molecular biology techniques, plant diseases caused by fungi, protozoa, bacteria, nematodes, phytoplasmas, viruses, viroids, etc. giving also special attention to research on mycotoxins, biological and integrated management of plant diseases, and the use of natural substances in weed control.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('bacteria', 'plant_diseases'), ('fungi', 'plant_diseases'), ('phytoplasmas', 'plant_diseases'), ('nematodes', 'plant_diseases'), ('viruses', 'plant_diseases')]",Yes
"""Our nation has recently seen the devastation caused by floods, tornadoes, and other natural disasters,"" Sen. Collins said.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('floods', 'devastation'), ('tornadoes', 'devastation'), ('natural_disasters', 'devastation')]",Yes
"This act creates s. 343.305(3)(ar), which provides that if a person is the operator of a vehicle that is involved in an accident that causes death or great bodily harm to another person, and an officer detects any presence of alcohol, a controlled substance, a controlled substance analog or other drug, or a combination thereof, the officer may request the operator to provide one or more samples of his or her breath, blood, or urine, for the purpose of determining the presence or quantity of any of the above-named substances.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('accident', 'death'), ('accident', 'great_bodily_harm')]",Yes
"SENATE AMENDMENT NO. 11-501.6 Deletes language providing for alcohol drug testing of drivers in accidents, and adds language providing that a person is deemed to have consented to such testing if there is probable cause to believe that the person was the driver responsible for an accident resulting in death or personal injury.",CauseNet-cause.csv,,2,['believe'],"['cause', 'resulting in']",explicit,"[('accident', 'death'), ('accident', 'personal_injury')]",Yes
"Describing them as ""little balloons filled with blood,"" Dr. Ali says that hemorrhoids are caused by constipation, bad bowel habits or pregnancy.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('constipation', 'hemorrhoids'), ('pregnancy', 'hemorrhoids')]",Yes
"5) Damage caused by fire, smoke, falling objects, water or other liquids, or natural events such as rain, floods, earthquakes, lightning, tornadoes, storms, etc. 6) Damage caused by operation on improper voltages.",CauseNet-cause.csv,,2,[],"['caused', 'caused']",explicit,"[('fire', 'damage'), ('water', 'damage'), ('smoke', 'damage'), ('natural_events', 'damage'), ('falling_objects', 'damage')]",Yes
"Problems were caused most often by deer (Odocoileus spp.; listed by 53% of all respondents), raccoons (Procyon lotor; 25%), coyotes (Canis latrans; 24%), and groundhogs (Marmota spp.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('deer', 'problems'), ('raccoons', 'problems')]",Yes
"Under the 1999 legislation, ""a property owner or his or her agent is neither liable for damage or injury caused by the fire or resulting smoke . . . for (certified) burns conducted in accordance with this subsection unless gross negligence is proven.""",CauseNet-cause.csv,,4,[],['caused'],explicit,"[('fire', 'damage'), ('smoke', 'damage')]",Yes
"Under the FTCA, the federal government can only be sued ""for injury or loss of property, or personal injury or death caused by the negligent or wrongful act or omission of any employee of the Government while acting within the scope of his office or employment, under circumstances where the United States, if a private person, would be liable to the claimant in accordance with the law of the place where the act of omission occurred,"" (28 U.S.C. To bring a negligence case under the FTCA, the claimant must have been damaged by the negligence or wrongful act of a federal employee acting within the scope of his or her employment in circumstances where a private person would be liable under the law of the state in which the negligence or wrongful act occurred.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('negligent_or_wrongful_act', 'injury'), ('omission_of_any_employee_of_the_government', 'injury')]",Yes
"-- St. Louis Encephalitis, an inflammation of the nervous system, usually causes drowsiness, headache and fever.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('st._louis_encephalitis', 'headache'), ('st._louis_encephalitis', 'fever')]",Yes
"However Fla. motorcyclists involved in auto accidents can suffer severe head injuries, which can cause brain damage, paralysis, and death.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('severe_head_injuries', 'death'), ('severe_head_injuries', 'brain_damage')]",Yes
"The FDA's own toxicologist, Dr. Adrian Gross told Congress that without a shadow of a doubt, aspartame can cause brain tumors and brain cancer and violated the Delaney Amendment which forbids putting anything in food that is known to cause Cancer.",CauseNet-cause.csv,,2,[],"['cause', 'cause']",explicit,"[('aspartame', 'brain_tumors'), ('aspartame', 'brain_cancer')]",Yes
"Argentina's ""National Health and Agroalimentary Service (Spanish acronym: SENASA) made known today (Wednesday, July 3, 2002) the report contracted with the Universidad Nacional del Centro (UNICEN) in Tandil, which concludes that the studies performed on dead and mutilated animals have established that the deaths are the result of natural causes and the injuries were provoked by predators, among them a rodent of the genus Oxymcterus, known as the hocicudo rojizo (red-muzzle mouse--J.T.) whose population has recently increased and whose nutritional habits have changed."" """,CauseNet-cause.csv,,3,[],['causes'],explicit,"[('injuries', 'deaths'), ('natural_causes', 'deaths')]",Yes
"Complications from diabetes include damage to the nervous system (which results in loss of sensibility in the extremities), damage to the kidneys (which results in anemia and the diseases caused by anemia), damage to the circulatory system (which results in greatly increased heart attack and stroke, amputation of fingers and legs, etc.), damage to the eyes (which results in blindness), damage to the brain (which results in sudden micro-strokes which cause paralisis and loss of brain functions), etc.",CauseNet-cause.csv,,2,[],"['results in', 'results in', 'caused', 'results in', 'results in', 'results in', 'cause']",explicit,"[('anemia', 'diseases'), ('damage_to_the_kidneys', 'anemia')]",Yes
"skin (1.81), and lymphatic cancers (1.61) and leukemia (1.83)' SMRa 0.92, 0.99, 1.53, 1.55 for death due to lung, pancreatic, bladder, and kidney cancer, respectively; medical records inadequate to control for smoking; of deaths due to pancreatic cancer, 71 percent (17124) were in men with a history of tobacco SUlOki@ SMR 1.98 for mortality due to ""total brain tumors""; SMR 0.78 for lung cancer and 0.64 for bladder cancer in hourly petrochemical workers; SMR 0.57' for nonmalignant respiratory disease de&he in white hourly workers' TABLE l.-Continued Study Type of population Study design Major Rndinga Austin and Schnatter (1983) Well et al. (1972) Doll et al (1972) 6,588 white male petrochemical workers 16,888 refinery workers 3,976 refinery workers 21,698 petrochemical workers 3,530 coke oven workers, subgroup of 59,000 steelworkers 3,028 gas workers Historical prospective mortality Historical prospective mcrtality Historical prospective Fewer than expected deaths due to all cancers (SMR 0.91) and all respiratory tract mortality diseases (SMR 0.44'); SMR 2.13' for leukemia' Historical prospective mortality Small but significant increaeee in all cause and circulatory disease mortality in workers expoeed to petrochemicals.",CauseNet-cause.csv,,2,[],"['due to', 'due to', 'due to', 'due to', 'cause']",explicit,"[('cancers', 'deaths'), ('pancreatic_cancer', 'deaths')]",Yes
"- Read more Tampa, Florida law firm, Contact Morgenstern & Herd, P.A. handles cases related to medical malpractice, auto accidents, motorcycle accidents, drunk driving accident injuries, wrongful death, injuries caused by defective products, cruise passenger injuries, Jones act, crewmember injuries, premises liability and slip and fall injuries, dog bites, and the like.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('defective_products', 'injuries'), ('slip', 'injuries'), ('premises_liability', 'injuries')]",Yes
"* Any person who cannot hold or turn a page due to a physical disability such as stroke, multiple sclerosis, Parkinson's disease, cerebral palsy, arthritis, aging, etc. * Any person with a temporary visual or physical disability, caused by illness, injury or surgery, which prohibits them from reading the printed word.",CauseNet-cause.csv,,2,[],"['due to', 'caused']",explicit,"[('surgery', 'stroke'), ('illness', 'stroke'), ('injury', 'stroke')]",Yes
"The method according to claim 17 wherein said patient is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Tek Alchemy, Inc. and Customer will each indemnify, defend and hold the other harmless from and against any and all costs, liabilities, losses, and expenses resulting from any claim, suit, action, or proceeding brought by any third party against the Indemnified Party or its affiliates alleging (i) the infringement or misappropriation of any intellectual property right relating to the delivery or its use of the Service(s) (but excluding any infringement contributorily caused by the Indemnified Party); (ii) personal injury caused by the negligence or willful misconduct of the other party; and (iii) any violation of or failure to comply with the Acceptable Use Policy.",CauseNet-cause.csv,,2,['claim'],"['caused', 'caused']",explicit,"[('action', 'expenses'), ('claim', 'expenses')]",Yes
"Co. v. 254, 88 A. 282 (1913), where a plaintiff was permitted to recover for injury which resulted from the shock and fright she experienced from the whistle of a steam locomotive; Patapsco Loan Co. v. 9, 98 A. 239 (1916), where a debt collector's constant harassment caused plaintiff mental anguish which resulted in convulsions; and Great Atlantic & Pacific Tea Co. v. 189, 153 A. 22 (1930), where a store manager sent a package containing a dead rat, rather than a loaf of bread, causing the plaintiff to experience mental anguish and subsequent physical injuries.",CauseNet-cause.csv,,10,[],"['caused', 'resulted in']",explicit,"[('shock', 'injury'), ('fright', 'injury')]",Yes
"He says that ""evolution may be the result of selection, variation, or both"" (p. 107), that ""variation can cause the evolution of a population in the absence of selective forces"" (p. 94), and that if immigration into a population alters its composition, ""variation"" has caused evolutionary change (p.",CauseNet-cause.csv,,3,[],"['cause', 'caused']",explicit,"[('selection', 'evolution'), ('variation', 'evolutionary_change')]",Yes
"The method according to claim 9 wherein said host is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Foremost Foods, International, Inc. of Pomona, CA, is issuing a recall on certain Tomi brand dried seafood products because they have the potential to be contaminated with Clostridium botulinum, a bacterium which can cause life-threatening illness or death.",CauseNet-cause.csv,,2,[],"['because', 'cause']",explicit,"[('bacterium', 'death'), ('bacterium', 'life-threatening_illness')]",Yes
"Others are more severe and less common, such as: nerve damage caused by spinal cord lesions, neurological disease (e.g. Multiple Sclerosis, Parkinson's disease, etc.), stroke, and blocked urethra due to enlarged prostate or prostatic surgery in men.",CauseNet-cause.csv,,2,[],"['caused', 'due to']",explicit,"[('stroke', 'nerve_damage'), ('neurological_disease', 'nerve_damage')]",Yes
"Currently, Dr. Nikiforov is studying the genetic mutations caused by radiation that lead to thyroid cancer, which could help predict the tumor's aggressiveness and guide intervention, as well as developing measures to prevent cancer development after radiation exposure.",CauseNet-cause.csv,,2,[],"['caused', 'lead to']",explicit,"[('radiation', 'thyroid_cancer'), ('radiation', 'genetic_mutations')]",Yes
"The pig strain can also be used to test new therapies for CF. While the gene mutation that causes cystic fibrosis has been known for over 20 years, it is still unclear exactly how this mutation results in the condition.",CauseNet-cause.csv,,2,[],"['causes', 'results in']",explicit,"[('mutation', 'condition'), ('gene_mutation', 'cystic_fibrosis')]",Yes
"So if you have a problem with basement flooding, a flood after a broken hot water heater, a flood caused by leaky plumbing, a flood caused by a roof leak, or a flood caused by a storm or natural disaster let Griffith Construction, Inc. clean up and repair your water damage in NJ.",CauseNet-cause.csv,,2,[],"['caused', 'caused', 'caused']",explicit,"[('storm', 'flood'), ('natural_disaster', 'flood'), ('flood', 'flood')]",Yes
"However, there are many situations where an outcome results from many causes (i.e. heart disease may be caused by smoking, poor diet, lack of exercise, family's predisposition, etc.) and multiple outcomes result from a common cause (i.e. obesity may cause heart disease, diabetes, orthopedic issues, depression, etc.).",CauseNet-cause.csv,,3,[],"['causes', 'caused', 'cause', 'cause']",explicit,"[('smoking', 'heart_disease'), ('poor_diet', 'heart_disease'), ('lack_of_exercise', 'heart_disease')]",Yes
"An efficient method for the culture of Helicobacter pylori from gastric biopsies with two-section petri dishes; Ding HJ et al. ; PURPOSE: Helicobacter pylori is the principal cause of chronic gastritis and is strongly associated with peptic ulcer disease and gastric cancer, as well as with gastric lymphoma (mucosa-associated lymphoid tissue {MALT} type) .",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('helicobacter_pylori', 'chronic_gastritis'), ('helicobacter_pylori', 'peptic_ulcer_disease'), ('helicobacter_pylori', 'gastric_cancer'), ('helicobacter_pylori', 'gastric_lymphoma')]",Yes
"He further said, The National Institute on Drug Abuse and Addiction Research Center; the Statistical Abstracts of the U.S. Department of Commerce; the Consumer Product Safety Commission for the years 1984 to 1993 clearly point out: 545,000 deaths are caused by nicotine and nicotine-related lung cancer, emphysema; 156,000 deaths from alcohol and alcohol-related homicide, suicide and traffic fatalities; 51,000 for motor vehicles; 36,000 for firearms; 26,000 deaths for the street drugs, cocaine, marijuana, heroine, PCP, Ecstasy, LSD, etc. ; Painkillers rack up 900 deaths; 300 for Amphetamines; Barbiturates caused 200 deaths; Tranquilizers: 90; Antibiotics caused 80 deaths; Sedatives caused 50 deaths; and Anabolic/androgenic steroids caused zero (0), nada, zippo, zilch</font color>.",CauseNet-cause.csv,,2,[],"['caused', 'caused', 'caused', 'caused', 'caused']",explicit,"[('suicide', 'deaths'), ('deaths', 'deaths'), ('emphysema', 'deaths'), ('nicotine', 'deaths'), ('traffic_fatalities', 'deaths'), ('sedatives', 'deaths')]",Yes
"On August 17, Zamora checked into St. Vincent's Hospital and was diagnosed with toxoplasmosis, a condition which causes brain lesions, fatigue, headaches and confusion.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('condition', 'fatigue'), ('condition', 'headaches'), ('condition', 'confusion')]",Yes
"Procrastination usually results in guilt, stress and in some extreme cases, the behavior that replaces the task at hand (the procrastination behavior- what you do instead of studying/paying bills/cleaning/exercising etc.) can cause a crisis or an addiction.",CauseNet-cause.csv,,2,[],"['results in', 'cause']",explicit,"[('procrastination', 'stress'), ('procrastination', 'guilt')]",Yes
"Then on Sunday there wasn't even an outbreak, but an isolated supercell in the Darlington, S.C. area produced a tornado that caused damage and injuries.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('tornado', 'damage'), ('tornado', 'injuries')]",Yes
"An Olender grant will be donated in Mr. Reeve's honor to the Christopher Reeve Paralysis Foundation (CRPF), which raises funds for research leading to a treatment and cure for paralysis caused by spinal cord injury and other nervous system disorders.",CauseNet-cause.csv,,2,[],"['leading to', 'caused']",explicit,"[('spinal_cord_injury', 'paralysis'), ('nervous_system_disorders', 'paralysis')]",Yes
"Using Multiple Cause of Death Data produced by the National Center for Health Statistics (NCHS), this study investigates the proportion of cancer deaths where a.)autoimmune disease was the underlying cause of death and b.)autoimmune disease deaths where cancer was the underlying cause of death, in the elderly U. Male and female proportions were found to be different with females demonstrating higher levels of co-morbidity when the underlying cause of death is cancer, and lower levels of co-morbidity, when the underlying cause of death is autoimmune disease.",CauseNet-cause.csv,,3,[],"['Cause', 'cause', 'cause', 'cause', 'cause']",explicit,"[('cancer', 'death'), ('autoimmune_disease', 'death')]",Yes
"After analyzing those four factors, the Court concluded that: ""Where it is clear that the court and the government were responsible for the extraordinary delay, and it is clear that the delay was caused by negligence rather than bad faith, prejudice can be presumed. . . .",CauseNet-cause.csv,,4,[],['caused'],explicit,"[('negligence', 'delay'), ('bad_faith', 'delay')]",Yes
"Anti-seizure medication has also been used to manage neuropathic pain, although older versions of these drugs have largely fallen out of favor because of their side effects (nausea, dizziness, fatigue, etc.) However, in the past 15 years, some new anticonvulsants have shown promise in alleviating pain from nerve compression, and the Food and Drug Administration has approved a handful of anticonvulsants for chronic pain management, such as chronic pain caused by a herniated disc, spinal stenosis, facet disease, and other forms of spinal degeneration.",CauseNet-cause.csv,,2,[],"['because', 'caused']",explicit,"[('spinal_stenosis', 'chronic_pain'), ('herniated_disc', 'chronic_pain')]",Yes
"Use Wound Dr. to treat and protect small wounds and stings, relieve pain caused by skin conditions and minor injuries, prevent infection of wounds and cuts on the skin, encourage healing of wounds, reduce inflammation and soothe insect stings.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('minor_injuries', 'pain'), ('skin_conditions', 'pain')]",Yes
"Mercury does cause autism, lead causes retardation, MSG lowers the I.Q. and may cause heart failure, aspartame causes epilepsy, Parkinson's Disease, M.S., and brain cancer, and artificial food additives cause A.D.D..",CauseNet-cause.csv,,2,[],"['cause', 'causes', 'cause', 'causes', 'cause']",explicit,"[('mercury', 'autism'), ('mercury', ""parkinson_'s_disease"")]",Yes
Death was due to shock and internal haemorrhage caused by injury no. 5 the abdominal wound.,CauseNet-cause.csv,,2,[],"['due to', 'caused']",explicit,"[('shock', 'death'), ('internal_haemorrhage', 'death')]",Yes
Olivier brand products subject to the recall were distributed to William-Sonoma retail stores nationwide and to Olivier Napa Valley retail stores located in Truckee and St. Olivier Parmesan & Asiago Dip with Garlic & Basil labeled with the following lot codes are affected by the recall: Clostridium botulinum is a bacterium which can cause life-threatening illness or death.,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('bacterium', 'death'), ('bacterium', 'life-threatening_illness')]",Yes
"The general liability policy obligates Liberty Mutual to defend suits alleging damages caused by an ""accident, including continuous or repeated exposure to conditions, which results in `bodily injury' . . . neither expected nor intended from the standpoint of the insured.""",CauseNet-cause.csv,,4,[],"['caused', 'results in']",explicit,"[('accident', 'damages'), ('accident', 'bodily_injury')]",Yes
(orig.) Pulmonary infections and tumors are a major cause of death in patients with AIDS.,CauseNet-cause.csv,,2,[],['cause'],explicit,"[('tumors', 'death'), ('pulmonary_infections', 'death')]",Yes
"In his best-selling The Cortisol Connection, Dr. Shawn Talbott explained how elevated levels of the cortisol hormone, when triggered by stress, will increase appetite, enhance fat storage, disrupt blood sugar control, and eventually lead to obesity that can cause diabetes and other serious conditions.",CauseNet-cause.csv,,2,[],"['lead to', 'cause']",explicit,"[('obesity', 'diabetes'), ('obesity', 'serious_conditions')]",Yes
"Interestingly, the medications most often tried for relief of joint pain caused by osteoarthritis (wear and tear arthritis) and rheumatoid arthritis, the so called non-steroidal anti-inflammatory drugs (e.g. aspirin, ibuprofen, naproxen, etc.) actually inhibit cartilage repair and accelerate cartilage destruction thus decreasing the ability of the body to heal itself.""",CauseNet-cause.csv,,2,[],"['caused', 'thus']",explicit,"[('osteoarthritis', 'joint_pain'), ('rheumatoid_arthritis', 'joint_pain')]",Yes
"The condition can cause rigidity and tremors, as well as confusion and high blood pressure, said Dr. Carlos Singer, a professor of neurology at the University of Miami's medical school.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('condition', 'confusion'), ('condition', 'rigidity'), ('condition', 'tremors')]",Yes
"Skunk Removal Solutions of St. Paul is a full-service Skunk Removal Company that will assist you with problems caused by Skunks, Snakes, Squirrels, Raccoons, Skunks, and more.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('raccoons', 'problems'), ('snakes', 'problems'), ('skunks', 'problems'), ('squirrels', 'problems')]",Yes
"""Acne often causes social withdrawal, depression and embarrassment, which can have a devastating effect on self-esteem and self-confidence,"" says dermatologist A.R. Shalita, M.D. of SUNY Downstate Medical Center in Brooklyn, NY, one of the world's leading acne experts, who led the multi-center ClearLight clinical trials.",CauseNet-cause.csv,,3,[],['causes'],explicit,"[('acne', 'depression'), ('acne', 'embarrassment'), ('acne', 'social_withdrawal')]",Yes
"They found a consensus: ""With one exception (H.S.N. Greene) the individuals whom we met believed that smoking causes lung cancer if by 'causation' we mean any chain of events which leads finally to lung cancer and which involves smoking as an indispensable link.""",CauseNet-cause.csv,,2,['believed'],"['causes', 'causation']",explicit,"[('smoking', 'lung_cancer'), ('chain_of_events', 'lung_cancer')]",Yes
"The document, made public on Jan. 6, recommends changes to the process used in evaluating human health risks from these compounds, which can cause cancer and other serious health effects through the same biochemical pathway.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('compounds', 'cancer'), ('compounds', 'serious_health_effects')]",Yes
"[DART buoys being readied for deployment at the NOAA National Data Buoy Center at the Stennis Space Center, Miss.] Tsunamis are the result of sudden displacement of massive amounts of seawater, usually caused by a large magnitude undersea earthquake, although underwater landslides and volcanic eruptions can also cause tsunamis.",CauseNet-cause.csv,,2,[],"['caused', 'cause']",explicit,"[('volcanic_eruptions', 'tsunamis'), ('underwater_landslides', 'tsunamis')]",Yes
"http://www.NewsAndOpinion.com | Operating with bureaucratic stealth and maneuvering under the political radar last month, the Environmental Protection Agency released a report claiming that human beings are causing atmospheric temperatures to rise, that the magnitude of global warming will be in line with U.N. predictions and that rising temperatures will result in scorching heat waves, droughts, floods and ecosystem collapse.",CauseNet-cause.csv,,2,['claiming'],['result in'],explicit,"[('rising_temperatures', 'droughts'), ('rising_temperatures', 'floods')]",Yes
"Virulence factors of Helicobacter pylori: implications for vaccine development; Suerbaum S et al. ; Helicobacter pylori is one of the most common infectious diseases in humans and causes gastritis, peptic ulcer disease and malignant tumours of the stomach .",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('helicobacter_pylori', 'gastritis'), ('helicobacter_pylori', 'peptic_ulcer_disease')]",Yes
"Understanding of the biological processes in all these living organisms will revolutionize the pharmaceutical industries, food industries, agriculture sector, heath care etc. and will provide solutions to different problems like aging, cancer development, infections caused by viruses and microbes and so on.",CauseNet-cause.csv,,2,[],['caused'],explicit,"[('viruses', 'infections'), ('microbes', 'infections')]",Yes
"I fully understand and acknowledge that travel activities have: (a) inherent risks, dangers and hazards and such exists in my participation in activities purchased through Words in Pictures, Inc.; (b) my participation in such activities may result in injury or illness; (c) these risks and dangers may be caused by the negligence of the owners, employees, officers or agents of Words in Pictures, Inc., the negligence of the participants, the negligence of others, accidents, breaches of contract, the forces of nature or other causes; and (d) by my participation in these activities, I hereby assume all risks and dangers and all responsibility for any losses and/or damages, whether caused in whole or in part by the negligence or other conduct of the owners, agents, officers, or employees of Words in Pictures, Inc., or by any other person.",CauseNet-cause.csv,,2,['assume'],"['result in', 'caused', 'causes', 'caused']",explicit,"[('participation_in_such_activities', 'injury'), ('participation_in_such_activities', 'illness')]",Yes
"Respiratory epithelial cell invasion by group B streptococci; Rubens CE et al. ; Group B streptococci (GBS) are the most common cause of pneumonia and sepsis during the neonatal period; however, the pathogenesis of this infection is poorly understood .",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('group_b_streptococci', 'pneumonia'), ('group_b_streptococci', 'sepsis')]",Yes
"The method according to claim 6 wherein said host is afflicted with a disorder caused by infection, rheumatoid arthritis, Lyme's arthritis, gout, sepsis syndrome, hyperthermia, ulcerative colitis, enterocolitis, osteoporosis, cytomegalovirus, periodontal disease, glomerulonephritis, chronic non-infectious inflammation of the lung, sarcoidosis, smoker's lung, granuloma formation, fibrosis of the liver, fibrosis of the lung, transplant rejection, graft vs. host disease, chronic myeloid leukemia, acute myeloid leukemia, neoplastic diseases, asthma bronchiale, type I insulin dependent diabetes mellitus, arteriosclerosis, atherosclerosis, psoriasis, chronic B lymphocyte leukaemia, common variable immunodeficiency, disseminated intravascular coagulation, systemic sclerosis, encephalomyelitis, lung inflammation, hyper IgE syndrome, cancer metastasis, cancer growth, adoptive immune therapy, acquired respiratory distress syndrome, sepsis, reperfusion syndrome, postsurgical inflammation, organ transplantation, or alopecia.",CauseNet-cause.csv,,2,['claim'],['caused'],explicit,"[('infection', 'disorder'), ('osteoporosis', 'disorder'), ('rheumatoid_arthritis', 'disorder')]",Yes
"Foot Deformities and Other Painful Conditions - Anyone who has ever suffered the pain and discomfort associated with foot deformities and diseases will be sure to receive a thorough education about the various causes of such conditions as well as the best treatments available, on this podcast of the Nov. 18, 2010 broadcast of the Waterbury Health Matters program.",CauseNet-cause.csv,,2,[],['causes'],explicit,"[('diseases', 'pain'), ('foot_deformities', 'pain')]",Yes
"Allergens (pollen, mold spores, pet dander, etc.), irritants (dirt, smoke, chemicals, chlorine, etc.) and even viruses and bacteria can cause conjunctivitis.",CauseNet-cause.csv,,3,[],['cause'],explicit,"[('viruses', 'conjunctivitis'), ('allergens', 'conjunctivitis'), ('irritants', 'conjunctivitis')]",Yes
"Adhesions can distort and disturb body functions and cause pain, intestinal obstruction and infertility, giving rise to a complex of problems, collectively termed ""Adhesion Related Disorder (ARD)"" - Dr. The rate of adhesion formation after surgery is surprising given the relative lack of knowledge about ADHESIONS among doctors and patients alike.",CauseNet-cause.csv,,2,[],['cause'],explicit,"[('adhesions', 'pain'), ('adhesions', 'infertility'), ('adhesions', 'intestinal_obstruction')]",Yes
